TC ID,Test case name,Input length type,Input,Expected output,Actual output,Status,Accuracy justification/ Description of issue type,What is covered by the test
Pos_Fun_0019,Mixed tech terms,M,aluth update eka install karanna,අලුත් update එක install කරන්න,අලුත් update එක install කරන්න,Pass,English technical words preserved; Sinhala parts correct.,Mixed Singlish + English → Technical terms → M (31–299) → Accuracy validation
Pos_Fun_0020,Brand name handling,M,Facebook eke post ekak damma,Facebook එකේ post එකක් දැම්මා,Facebook eke post එකක් ඩම්ම,Fail,Brand partly unchanged; Sinhala grammar/letters wrong; “එකේ” not converted; “දැම්මා” corrupted.,Mixed Singlish + English → Brand names → Grammar + mapping failure → M (31–299)
Pos_Fun_0021,Weather adjective,S,ada godak rassnei,අද ගොඩක් රස්නෙයි,අඩ ගොඩක් රස්ස්නේ,Fail,Wrong word (අද→අඩ) and adjective distorted; meaning/spelling incorrect.,Daily usage → Adjectives → S (≤30) → Accuracy failure
Pos_Fun_0022,Punctuation comma,S,"hari, yamu","හරි, යමු","හරි, යමු",Pass,Punctuation preserved; words correct.,Punctuation handling → Comma preservation → S (≤30) → Accuracy validation
Pos_Fun_0023,Long paragraph stability,L,TBD,මම ගෙඩර එනකොට bus එක late උන. ticket එක online ගට්ට. traffic ගොඩක් තිබ්බ නිස මම පොඩ්ඩක් late. ගෙඩර ගිහින් dinner හඩල නිඩගට්ට.,TBD,Fail,Long input stability observation; keep as robustness/stability evidence.,Input variations → Long text (≥300 chars) → Stability + quality degradation
Pos_Fun_0025,Phrase corrupted - suba dawasak,S,suba dawasak,සුබ දවසක්,සුබ ඩwඅසක්,Fail,Confirmed bug: mixed Latin 'w' + wrong Sinhala letters; phrase becomes invalid.,Negative testing → Common phrase → Mixed-script corruption → S (≤30)
Pos_Fun_0026,Greeting corrupted - ayubowan,S,ayubowan,ආයුබෝවන්,අයුබොwඅන්,Fail,Mixed-script bug: 'w' appears; greeting becomes wrong/invalid.,Negative testing → Greetings → Mixed-script corruption → S (≤30)
Pos_Fun_0026A,HTML tags not sanitized,M,<div>api yamu</div>,<div>අපි යමු</div>,<div>අපි යමු</div>,Pass,Inner Sinhala converted; tags preserved; system handles tags in this case.,Negative testing → Code-like input (HTML) → Sanitization/handling → M (31–299)
Pos_Fun_0027,Line breaks formatting,M,"mama yannawa
o ya enawada?",TBD,"මම යන්නwඅ
ඔ ය එනwඅඩ?",TBD,Newlines may collapse into spaces or break mapping mid-line; verify formatting preservation.,Formatting → Line breaks → M (31–299) → Formatting preservation check
Pos_Fun_0028,Software Update Mixed,M,aluth update eka install karanna,අලුත් update එක install කරන්න,අලුත් update එක install කරන්න,Pass,"Successfully preserved English technical terms ""update"" and ""install"".",Mixed Singlish + English → Technical terms → M (31–299) → Accuracy validation
Pos_Fun_0029,Polite Request,M,karunakarala mata udavu karanna,කරුණාකරලා මට උදවු කරන්න,කරුනකරල මට උඩවු කරන්න,Fail,"Handled the multi-syllabic polite request word ""karunakarala"" correctly; formal register preserved.",Requests → Polite vs informal → M (31–299) → Accuracy validation
Pos_Fun_0030,Pure Special Chars,M,!@#$%^&*,!@#$%^&*,!@#$%^&*,Pass,Special characters handling check (verify if system incorrectly processes them).,Formatting → Special characters
Pos_Fun_0031,Emoji Text Handling,M,suba dhavasak 😊,සුබ දවසක් 😊,සුබ දවසක් 😊,Pass,Emoji handling check (verify if emojis affect transliteration).,Formatting → Emojis
Pos_Fun_0032,Foreign script mixed,M,mama NiHao yanawa,මම NiHao යනවා,මම ණිහඔ යනwඅ,Fail,Foreign script/word mixing check (verify handling).,Mixed language → Foreign scripts
Pos_Fun_0033,Repeating consonants stress,S,kkkkkkkkkk,ක්ක්ක්ක්ක්ක්ක්ක්ක්ක්ක්,ක්ක්ක්ක්ක්ක්ක්ක්ක්ක්,Fail,Stress/junk input handling check (verify expected behavior).,Input variations → Junk input/stress
Pos_Fun_0034,Adjective usage,S,lassana malak,ලස්සන මලක්,ලස්සන මලක්,Pass,"Successful transliteration of adjective ""lassana"" and phrase correctness.",Grammatical forms → Adjectives → Accuracy validation
Pos_Fun_0035,Incorrect capitalization / mixed case,S,aBA kanna mama hari aasa kalaa,aBA කන්න මම හරි ආස කලා,aBA කන්න මම හරි ආස කලා,Pass,Mixed-case/mixed-script handling check (verify corruption issues).,Mixed-case text handling → Mixed-script corruption detection
Pos_Fun_0036,Simple sentence,S,mama aasama poth kiyavanna,මම ආසම පොත් කියවන්න,මම ආසම පොත් කියවන්න,Pass,Sentence converts cleanly; correct word forms.,Daily usage → Simple sentence → Accuracy validation
Pos_Fun_0037,Repetition emphasis,S,gaenu Lamayi Lamayi harima lassana,ගැනු ළමයි ළමයි හරිම ලස්සන,ගැනු ළමයි ළමයි හරිම ලස්සන,Pass,Repeated word emphasis preserved.,Repeated word expressions → Adjectives → Accuracy validation
Pos_Fun_0038,Negative preference sentence,S,mama bath kanna aasa nae,මම බත් කන්න ආස නැ,මම බත් කන්න ආස නැ,Pass,Negation preserved; sentence remains natural.,Negation patterns → Daily usage → Accuracy validation
Pos_Fun_0039,Institution/common word mixed,S,sliit eka harima lassanayi,ස්ලීට් එක හරිම ලස්සනයි,ස්ලීට් එක හරිම ලස්සනයි,Pass,Mixed proper word preserved; output correct.,Mixed language → Common words/proper nouns → Accuracy validation
Pos_Fun_0040,Repeated words,S,paata paata samanallu godayi,පාට පාට සමනල්ලු ගොඩයි,පාට පාට සමනල්ලු ගොඩයි,Pass,Repetition preserved; plural meaning ok.,Repeated word expressions → Daily usage → Accuracy validation
Pos_Fun_0041,Day to day expression,S,udheema ira paayanava,උදේම ඉර පායනව,උදේම ඉර පායනව,Pass,Common expression converts correctly.,Daily usage → Expressions → Accuracy validation
Pos_Fun_0042,Mixed tech terms short,S,wifi harima slow,wifi හරිම slow,wifi හරිම slow,Pass,Technical terms preserved; Sinhala parts correct.,Mixed Singlish + English → Tech terms → S (≤30)
Pos_Fun_0043,Simple command,S,pahatha balanna,පහත බලන්න,පහත බලන්න,Pass,Imperative preserved; correct Sinhala.,Imperative (command) → S (≤30) → Accuracy validation
UI_0001,Swap button rapid clicks should not break translation UI,N/A,"Swap x5 quickly, then enter a new sentence",UI responsive; output updates correctly,oyata kohomadha?,Pass,UI remains responsive; swapping does not freeze or clear fields unexpectedly.,UI stability/usability under rapid interaction
UI_0002,Clear button clears input + output,N/A,Enter text then click Clear/Reset,"input="""" and output=""""","input="""" output=""""",Pass,Clear button resets both input and output correctly.,UI behavior → Clear/Reset → State reset validation
